,pick1_encoded,pick2_encoded,pick3_encoded,pick4_encoded,pick5_encoded,winrate_pick1,winrate_pick2,winrate_pick3,winrate_pick4,winrate_pick5,count_pick1,count_pick2,count_pick3,count_pick4,count_pick5,kills,deaths,assists,team kpm,ckpm,gspd,gpr,gamelength,firstblood,firstdragon,dragons,elementaldrakes,firstherald,heralds,firstbaron,barons,firsttower,firstmidtower,firsttothreetowers,turretplates,earned gpm,goldat15,goldat20,goldat25,golddiffat15,golddiffat20,golddiffat25,xpdiffat20,xpdiffat25,wardsplaced,visionscore,wardskilled,controlwardsbought,cspm,minionkills,monsterkills,csat15,csdiffat15,csat20,csdiffat20,csat25,csdiffat25,damagetochampions,damagetakenperminute,damagemitigatedperminute
1079,4,42,9,74,37,0.1,0.0,0.391304347826087,0.4210526315789473,0.3125,10.0,8.0,23.0,19.0,32.0,6,17,9,0.2063,0.7908,-0.107645,-1.34,1745,1,0,1,1,1,1,0,0,0,0,0,1,954.361,24725,33635,41905,-964,35,-4504,459,-5180,104,233,35,33,31.4957,768,148,501,-77,683,-70,844,-69,49380,3298.3496,3414.086
1077,52,7,18,92,6,0.3076923076923077,0.2972972972972973,0.0,0.0,0.2916666666666667,26.0,37.0,1.0,4.0,24.0,5,23,10,0.1775,0.9941,-0.155455,-2.88,1690,0,0,0,0,0,0,0,0,1,0,0,0,920.3432,23710,33073,40527,-2445,-3367,-10159,-4869,-12219,92,231,46,47,31.5621,742,147,529,-58,717,-48,818,-74,56855,3574.6509,3147.1243
1248,7,56,110,0,58,0.56,0.5757575757575758,0.4814814814814814,0.631578947368421,0.4166666666666667,25.0,33.0,27.0,19.0,12.0,16,9,48,0.3097,0.4839,0.120542,1.08,3100,1,0,3,2,1,1,0,1,1,1,1,8,1252.6645,27207,36384,44654,3581,4462,3783,773,404,195,560,131,79,33.9677,1460,295,553,-12,756,-20,961,-44,102590,2784.2323,4169.2645
1915,9,41,36,64,129,0.6296296296296297,0.45,0.65625,0.5,0.0,27.0,20.0,32.0,4.0,1.0,3,9,6,0.0905,0.3622,-0.142713,-2.44,1988,0,1,2,2,0,0,0,0,0,0,1,12,1008.8934,26049,33843,42009,-3168,-4134,-5276,-545,667,117,254,45,44,34.7384,960,191,512,-35,699,-52,908,-59,40730,2724.9899,2860.1408
285,31,78,57,25,99,0.1428571428571428,0.0666666666666666,0.0909090909090909,0.0,0.375,14.0,15.0,11.0,8.0,8.0,7,13,18,0.1639,0.4682,-0.0956538,-1.8,2563,1,0,4,4,0,1,0,0,0,1,0,0,963.6052,22619,30562,38239,-488,-2806,-2277,-594,1874,0,372,77,70,32.4698,1140,247,511,4,684,4,826,-19,97108,3685.9852,3865.2126
945,65,7,72,3,75,0.6521739130434783,0.65,0.6785714285714286,0.5789473684210527,0.7272727272727273,23.0,60.0,28.0,19.0,11.0,9,20,20,0.3107,1.0012,-0.0711911,-0.75,1738,1,0,0,0,0,1,0,0,0,1,0,2,952.267,23660,33676,41264,-2039,196,-5109,-362,-6846,90,203,42,41,31.3119,777,130,494,-38,659,-22,824,-35,51782,3156.7664,3926.7894
1251,61,7,67,74,41,0.5652173913043478,0.5348837209302325,0.7142857142857143,0.6842105263157895,0.5,23.0,43.0,21.0,38.0,34.0,15,8,40,0.4902,0.7516,0.0152427,-0.01,1836,0,1,4,4,1,1,1,1,1,0,0,4,1248.2026,24881,32991,42568,1051,-1982,-765,-1968,-706,128,306,60,43,34.8693,877,190,596,33,763,4,966,15,75082,2852.4837,3721.0458
67,36,38,20,76,2,0.2727272727272727,0.2142857142857142,0.25,0.28,0.0,11.0,14.0,4.0,25.0,7.0,14,10,32,0.3922,0.6723,0.0809494,1.39,2142,1,1,3,3,1,2,1,1,1,1,0,2,1075.2101,22523,33338,43531,-450,2105,3751,895,2458,127,268,47,61,29.6078,895,162,479,-9,657,12,799,22,101511,4002.6611,2885.6303
363,25,35,96,76,48,0.5789473684210527,0.6896551724137931,0.3888888888888889,0.5806451612903226,0.25,19.0,29.0,18.0,31.0,4.0,23,8,52,0.8955,1.207,0.301651,3.81,1541,0,1,4,4,1,2,1,1,1,1,1,7,1509.4614,27377,38869,52423,3638,6670,14097,1882,12196,97,215,31,40,34.0299,699,175,500,47,680,52,860,108,79414,2825.1785,2446.1778
1223,53,21,52,80,37,0.2857142857142857,0.4444444444444444,0.2962962962962963,0.3684210526315789,0.3125,7.0,9.0,27.0,38.0,32.0,22,8,72,0.5692,0.7762,0.118212,2.88,2319,1,1,5,4,1,1,1,2,1,1,1,4,1382.3286,26052,36290,46472,2803,4183,5265,1867,2322,140,398,103,68,32.8072,1049,219,539,29,721,21,890,37,114212,3412.3674,4746.0802
1874,9,62,110,72,29,0.631578947368421,0.5961538461538461,0.5416666666666666,0.4242424242424242,0.6428571428571429,19.0,52.0,48.0,33.0,28.0,4,10,8,0.1511,0.529,-0.0751991,0.27,1588,1,0,1,1,1,1,0,0,0,1,0,2,1009.9118,25769,34944,42336,514,-551,-4767,-1937,-9181,102,222,37,29,36.2343,774,185,596,-1,790,-26,918,-47,49899,3275.8186,2530.2393
176,70,78,49,24,52,0.3103448275862069,0.0666666666666666,0.2,0.2222222222222222,0.5,29.0,15.0,10.0,9.0,10.0,6,12,9,0.1918,0.5754,-0.0862592,-1.69,1877,0,0,0,0,0,0,0,0,0,0,0,1,900.2238,22586,31704,40222,-3066,-3556,-2573,-1764,-267,103,272,69,49,31.4544,797,187,494,-48,681,-44,839,-45,44594,3008.9185,2841.5131
1917,33,46,21,61,27,0.6153846153846154,0.25,0.6923076923076923,0.6,0.7142857142857143,26.0,4.0,13.0,15.0,7.0,13,20,25,0.4367,1.1086,0.0579034,-0.82,1786,0,0,1,1,0,0,1,1,0,1,1,1,1142.2508,24003,34834,45095,-1031,-216,-342,65,1683,98,232,37,48,30.4703,735,172,544,-22,726,-19,819,-27,99489,4780.6495,3643.505
1502,55,79,29,106,54,0.5,0.1538461538461538,0.4444444444444444,0.217391304347826,0.1764705882352941,6.0,13.0,9.0,23.0,17.0,4,21,10,0.1434,0.8961,-0.190604,-2.21,1674,1,0,0,0,1,1,0,0,0,1,0,2,890.6452,23958,32172,39358,-277,-4069,-12082,-3289,-11518,96,227,48,39,33.6918,767,173,542,-15,706,-50,858,-75,55978,3727.6703,3001.5412
1078,31,45,64,0,115,0.75,0.7692307692307693,0.9285714285714286,0.75,0.6666666666666666,28.0,26.0,14.0,28.0,33.0,17,6,41,0.5845,0.7908,0.107645,1.34,1745,0,1,3,3,0,0,1,2,1,1,1,5,1409.914,25689,33600,46409,964,-35,4504,-459,5180,95,247,39,30,35.1748,830,193,578,77,753,70,913,69,80702,2887.3238,2939.4155
1358,28,75,39,88,62,0.5,0.3571428571428571,0.2,0.4,0.2307692307692307,6.0,14.0,10.0,5.0,13.0,19,22,47,0.3846,0.83,-0.155465,-3.57,2964,0,0,1,1,0,0,0,0,0,0,0,1,1131.1134,24224,32884,39830,-3049,-4619,-10166,-4177,-11736,199,400,68,83,31.9028,1391,185,453,-72,597,-113,712,-147,129271,3506.7814,4740.668
52,5,15,96,24,9,0.5,0.3333333333333333,0.5,0.5882352941176471,0.3809523809523809,10.0,3.0,20.0,17.0,21.0,14,16,21,0.3523,0.755,-0.0285785,1.41,2384,1,1,5,4,0,1,1,1,1,1,1,3,1181.0738,25855,35618,42412,2344,4028,1090,2557,366,222,450,76,66,31.5101,1022,230,506,1,691,14,854,15,99600,2761.0067,2449.0017
1506,5,67,9,74,116,0.6,0.6666666666666666,0.5348837209302325,0.6842105263157895,0.5,10.0,6.0,43.0,38.0,14.0,19,6,40,0.6955,0.9152,0.142338,2.34,1639,0,1,3,3,1,1,1,1,1,1,1,3,1419.097,25233,38261,49198,829,6611,8230,5849,11348,88,272,66,36,37.9988,812,226,596,22,814,66,967,90,60811,3135.5583,3562.5503
1333,61,72,59,38,122,0.4375,0.4705882352941176,0.5,0.4761904761904761,0.5,16.0,17.0,2.0,21.0,12.0,18,6,53,0.5717,0.7623,0.135722,3.33,1889,1,1,5,4,1,1,1,1,1,1,1,7,1398.1048,26829,35748,44704,3424,3658,3842,1779,2969,113,281,48,57,34.4627,901,184,510,14,725,25,889,15,85728,2852.8428,3336.4002
98,61,41,28,35,25,0.5,0.6363636363636364,0.5,0.3636363636363636,0.6666666666666666,20.0,11.0,8.0,11.0,6.0,6,2,15,0.1892,0.2522,0.101254,1.38,1903,1,1,3,3,0,1,1,2,1,1,1,4,1245.402,23487,33794,45738,436,2509,5424,2499,5179,132,323,56,57,35.7541,936,198,521,-33,721,-19,875,-16,67539,2426.8313,1989.4903
555,64,54,1,106,60,0.2727272727272727,0.3461538461538461,0.1333333333333333,0.217391304347826,0.3333333333333333,11.0,26.0,15.0,23.0,6.0,1,17,2,0.0439,0.7901,-0.191369,-4.93,1367,0,0,0,0,0,0,0,0,0,0,0,5,766.6569,22417,30043,0,-4474,-7793,0,-5294,0,71,144,24,39,27.7835,537,96,477,-93,598,-138,0,0,25724,3078.7418,2919.8098
1139,12,62,29,70,28,0.4285714285714285,0.3181818181818182,0.2307692307692307,0.0,0.0,28.0,44.0,13.0,2.0,2.0,2,9,4,0.0701,0.3853,-0.0669433,-0.63,1713,0,0,0,0,0,0,0,0,1,0,0,0,993.275,23671,31985,40461,-925,-319,-1770,-974,-1033,112,250,59,37,36.1471,862,170,577,-2,747,1,963,-4,45107,3058.8441,2844.0981
109,61,20,20,90,38,0.3636363636363636,0.8,0.5,0.375,0.375,22.0,5.0,2.0,8.0,16.0,13,7,34,0.4785,0.7362,0.0961258,1.3,1630,0,1,4,4,1,1,1,1,1,1,1,3,1283.8528,24111,35817,45997,491,3703,6685,2087,8296,95,272,59,46,32.7239,731,158,471,-9,659,-3,814,3,58671,2515.8773,1321.1411
1886,7,37,78,66,71,0.65,0.5714285714285714,0.782608695652174,0.6666666666666666,0.5,60.0,7.0,23.0,3.0,4.0,13,10,29,0.3616,0.6398,0.0579799,1.61,2157,1,0,3,3,1,1,0,0,1,1,1,6,1227.6773,26029,36078,45358,2504,3212,1878,4540,1988,123,319,72,45,36.1613,1003,297,599,31,808,48,951,62,80082,3306.8428,4023.3658
1203,7,68,67,61,122,0.2972972972972973,0.2857142857142857,0.2777777777777778,0.2,0.1,37.0,7.0,18.0,20.0,10.0,5,19,12,0.1526,0.7325,-0.18273,-1.94,1966,1,0,0,0,0,0,0,0,1,0,0,0,924.5677,24272,32389,40047,-1984,-3568,-4912,-2927,-6913,119,287,58,55,31.8922,875,170,551,-19,708,-35,816,-72,56748,3230.9359,2761.5565
279,61,11,103,34,74,0.5,0.5,0.6666666666666666,0.5,0.0,20.0,6.0,24.0,20.0,1.0,10,20,19,0.1931,0.5793,0.207587,1.86,3107,1,1,3,3,0,1,1,4,1,1,1,9,1176.8265,25672,35683,45363,2713,3422,3261,544,187,0,576,93,67,33.0222,1352,358,545,61,757,74,919,88,123602,3543.0705,3336.0541
1188,61,7,25,105,68,0.5,0.7297297297297297,0.4705882352941176,0.45,0.6470588235294118,20.0,37.0,17.0,20.0,34.0,4,16,10,0.1248,0.624,-0.161921,-3.01,1923,0,0,1,1,1,1,0,0,0,0,0,1,959.5632,24008,32527,40243,-2302,-4219,-4543,-4434,-2651,120,289,47,48,33.6661,884,195,556,11,740,-23,903,-22,67310,3062.9641,2626.9891
732,3,28,100,72,37,0.6428571428571429,0.625,0.6153846153846154,0.631578947368421,0.6666666666666666,14.0,16.0,13.0,19.0,15.0,13,7,34,0.382,0.5877,0.0452684,1.75,2042,1,0,4,4,1,2,1,2,0,1,1,4,1309.0108,24305,33726,43463,1385,2418,2449,2921,3576,159,378,67,51,34.525,904,271,494,-16,692,23,842,20,70793,2648.903,2959.5397
1254,42,88,49,104,41,0.2222222222222222,0.2307692307692307,0.0,0.0,0.2857142857142857,9.0,13.0,2.0,1.0,28.0,2,11,5,0.0648,0.4214,-0.0336235,0.38,1851,1,1,1,1,1,1,0,0,1,1,1,2,982.4635,24540,33859,42758,972,1145,1350,725,-1548,89,253,50,45,34.846,905,170,552,-6,781,17,954,-13,37071,2563.4036,3504.376
563,70,1,58,76,72,0.1818181818181818,0.5454545454545454,0.125,0.0,0.4,11.0,11.0,8.0,7.0,5.0,14,16,33,0.3561,0.763,0.055777,-0.05,2359,1,0,3,3,1,1,1,1,0,0,0,4,1104.6969,24248,32027,44535,-519,-1784,1533,-759,5227,177,413,73,75,32.2255,1044,223,531,-14,689,-2,847,1,85933,3360.6613,3467.2319
1049,45,27,104,25,123,0.5555555555555556,0.4761904761904761,0.375,1.0,1.0,18.0,21.0,8.0,1.0,1.0,21,9,53,0.7071,1.0101,0.113022,1.31,1782,1,0,2,2,0,0,0,0,0,1,1,5,1382.3232,26263,36709,47265,295,2920,3706,4143,3281,150,288,47,45,36.7677,892,200,567,39,733,54,912,67,66143,2773.7374,3469.798
182,33,88,49,8,25,0.4347826086956521,0.4210526315789473,0.3636363636363636,0.4090909090909091,0.375,23.0,38.0,11.0,22.0,8.0,10,5,22,0.333,0.4994,0.0360661,2.86,1802,1,0,3,3,1,2,0,0,1,1,1,6,1262.4639,25540,36801,46561,2616,6415,7174,1292,1589,90,258,49,36,36.0932,870,214,525,27,712,48,931,64,70294,2662.6415,2222.4306
936,23,7,72,80,37,0.3333333333333333,0.65,0.6785714285714286,0.6595744680851063,0.3846153846153846,15.0,60.0,28.0,47.0,13.0,17,10,44,0.4484,0.7121,0.0518623,0.92,2275,0,0,4,4,1,2,1,1,1,1,1,6,1318.6022,25410,34578,42884,189,1071,2182,1551,1967,139,406,82,61,35.5516,1050,298,532,-10,688,20,865,34,97507,2916.0264,3844.5363
1131,53,62,89,2,16,0.8,0.5961538461538461,0.4,0.8333333333333334,0.6,5.0,52.0,5.0,12.0,5.0,16,7,49,0.4831,0.6945,0.0801069,0.5,1987,0,0,2,2,0,0,0,0,1,0,1,2,1232.2496,23555,34183,42913,-425,1702,1083,2652,-939,87,271,53,40,33.6387,893,221,531,-25,765,31,879,-4,80852,3628.7469,4355.9638
269,32,78,110,93,30,0.7142857142857143,0.8461538461538461,0.8205128205128205,0.8666666666666667,0.9,21.0,26.0,39.0,15.0,10.0,15,4,41,0.5525,0.6998,0.249443,2.61,1629,1,1,4,4,1,1,1,1,1,0,1,5,1404.7514,26006,35101,48958,3074,4798,10132,4622,13140,0,218,37,32,35.5801,761,205,529,26,702,80,897,128,64281,2822.7256,2797.6427
638,52,5,36,35,68,0.21875,0.1666666666666666,0.4,0.1666666666666666,0.25,32.0,18.0,45.0,6.0,24.0,6,14,13,0.1639,0.5464,-0.0208264,-0.01,2196,1,1,2,2,0,0,0,0,1,0,1,3,991.3934,25472,34326,42910,1251,970,-357,491,-3075,152,346,100,77,34.1257,1049,200,596,40,791,59,941,53,76865,2280.4372,3513.9071
1260,52,38,57,93,37,0.7419354838709677,0.6363636363636364,0.6666666666666666,0.8666666666666667,0.8666666666666667,31.0,22.0,12.0,15.0,30.0,12,4,31,0.3991,0.5322,0.205901,1.94,1804,0,0,3,3,1,1,1,1,1,1,1,6,1299.4457,25495,36180,45938,1139,2280,5259,-382,6679,105,275,48,44,35.2882,847,214,561,16,748,12,902,19,84358,2772.306,2880.1996
132,11,14,40,89,75,0.6,0.5,0.8,1.0,0.4444444444444444,5.0,8.0,5.0,1.0,9.0,20,10,36,0.5268,0.7902,0.0781384,1.4,2278,1,0,1,0,0,0,0,1,0,0,0,5,1305.6716,25101,35500,42633,2086,3734,-1779,1894,-5447,148,308,50,48,31.2643,996,191,515,-10,698,16,851,0,97031,4426.1194,4909.2274
912,23,23,103,109,79,0.5,0.5,0.6666666666666666,0.4,0.3333333333333333,10.0,20.0,24.0,5.0,3.0,11,23,21,0.3057,0.9449,-0.0963107,-0.96,2159,1,1,3,3,1,1,0,0,1,0,0,4,1074.8865,23900,33455,43121,-1948,-1782,-3271,-1374,-3694,151,318,42,64,34.0991,992,235,512,-31,731,-26,890,-33,79338,3129.1987,3225.3265
976,31,51,57,69,110,0.1428571428571428,0.0,0.0909090909090909,0.1,0.0,14.0,4.0,11.0,10.0,3.0,14,14,28,0.3351,0.6701,-0.00478123,1.1,2507,1,0,3,3,0,0,0,0,1,0,1,6,1095.2932,26441,35781,44062,3915,4802,1348,1833,-2759,139,357,71,53,31.8548,1136,195,562,74,759,72,881,38,107963,3484.7387,5798.1013
1640,33,58,17,40,83,0.2962962962962963,0.3793103448275862,0.1428571428571428,0.2,0.2,27.0,29.0,14.0,5.0,5.0,6,11,15,0.1509,0.4275,0.003001,0.71,2386,1,1,4,4,0,0,1,2,1,0,0,5,1098.1056,25449,34604,44340,1506,1337,2146,-915,451,194,380,68,64,33.948,1132,218,556,-19,756,-30,946,-66,94286,4536.4376,3835.4233
1620,5,13,12,69,3,0.5,0.5384615384615384,0.4,0.0,0.25,8.0,13.0,5.0,3.0,16.0,12,15,36,0.3307,0.7441,-0.0709523,-1.45,2177,0,0,1,1,1,1,0,1,0,0,0,0,1135.232,24113,34120,41682,-1052,-304,-1574,681,-1303,121,323,71,48,34.5613,1057,197,536,-22,755,3,935,-3,100949,3767.4047,4056.8213
1870,30,16,36,3,65,0.6666666666666666,0.5,0.4,0.4285714285714285,1.0,3.0,10.0,45.0,14.0,1.0,16,11,30,0.4736,0.7992,0.0149936,0.93,2027,0,0,3,3,1,1,0,0,1,0,1,3,1236.4085,25260,36383,45393,747,3103,4042,1320,2219,121,317,75,56,36.5269,991,243,514,-13,701,-16,926,16,74584,3143.7987,3013.2018
1515,58,59,100,111,3,0.6470588235294118,0.5,0.3157894736842105,0.4210526315789473,0.5,17.0,6.0,19.0,38.0,14.0,17,5,40,0.5965,0.7719,0.188352,1.95,1710,0,1,4,4,1,1,1,1,1,1,1,5,1510.4211,26300,37922,48122,1815,4413,5695,3017,4056,96,263,47,34,40.0702,891,251,578,54,792,53,1010,92,74809,3742.0,3273.9298
1724,70,41,25,95,54,0.5416666666666666,0.8611111111111112,0.6428571428571429,0.6538461538461539,0.6666666666666666,48.0,36.0,28.0,26.0,12.0,19,19,46,0.4167,0.8333,0.034808,0.54,2736,0,0,3,3,1,1,0,1,1,1,1,6,1176.7763,25847,36063,44378,1793,1445,2056,743,1559,156,437,94,56,33.3991,1180,343,552,30,728,22,911,35,149192,3672.8289,3898.3114
1376,62,27,90,37,104,0.28,0.4,0.4,0.5,1.0,25.0,45.0,15.0,6.0,1.0,13,12,37,0.372,0.7153,-0.056415,-0.88,2097,1,0,2,2,0,0,0,0,0,0,0,1,1271.1874,25318,33318,41340,-250,-2225,-3166,194,-2517,121,331,75,56,36.0229,1072,187,562,3,770,-6,963,-49,78775,2560.8011,3175.4506
130,70,82,9,76,97,0.3103448275862069,0.2727272727272727,0.391304347826087,0.3793103448275862,0.0,29.0,11.0,23.0,29.0,2.0,4,17,6,0.1701,0.893,-0.202213,-3.53,1411,0,0,1,1,0,0,0,0,0,0,0,0,832.8987,22665,30770,0,-3823,-6389,0,-2344,0,71,174,32,34,31.1694,590,143,500,-38,661,-66,0,0,31978,3613.9901,2206.9454
1864,33,27,17,36,54,0.5714285714285714,0.6097560975609756,0.4705882352941176,0.5,0.6,21.0,41.0,17.0,2.0,20.0,7,19,18,0.2228,0.8276,-0.186116,-1.05,1885,1,0,1,1,0,0,0,0,0,0,0,0,991.8621,24124,32355,40225,23,-1258,-4591,-2294,-4252,88,215,40,34,33.6127,890,166,513,-31,711,-45,863,-70,60458,3852.3183,3853.5915
1076,60,78,90,81,61,0.5555555555555556,0.65625,0.6071428571428571,0.8,0.5714285714285714,9.0,32.0,28.0,10.0,21.0,23,5,68,0.8166,0.9941,0.155455,2.88,1690,1,1,4,4,1,1,1,1,0,1,1,4,1421.3609,26155,36440,50686,2445,3367,10159,4869,12219,90,215,40,37,34.0473,745,214,587,58,765,48,892,74,84222,2958.426,3708.8166
83,5,66,40,65,41,0.5,0.0,0.0,0.4,0.375,10.0,1.0,2.0,5.0,24.0,3,10,10,0.0931,0.4033,-0.119243,-0.72,1934,0,0,1,1,0,1,0,0,0,0,0,1,988.666,23863,32978,41545,370,14,-3071,462,-3694,154,312,60,55,35.3051,927,211,557,1,764,11,941,5,50060,2729.8139,2560.2689
303,25,82,21,24,102,0.75,0.6,0.6363636363636364,0.7142857142857143,0.8666666666666667,8.0,20.0,11.0,14.0,15.0,10,24,14,0.2628,0.8936,-0.137567,-1.91,2283,0,0,2,2,1,2,0,0,1,0,0,5,1017.9763,25494,35485,42744,-980,-1763,-4131,-2105,-6082,138,318,67,50,31.5112,1004,195,530,-21,711,-50,862,-62,76428,3366.2024,2926.071
163,19,62,88,112,77,0.55,0.3529411764705882,0.5555555555555556,0.6,0.3333333333333333,20.0,34.0,9.0,5.0,3.0,3,15,4,0.0967,0.58,-0.0930468,-0.9,1862,1,0,0,0,1,1,0,0,1,0,0,7,921.7186,24959,33160,41074,-1117,-1679,-1107,-1756,-1504,118,260,43,43,32.4812,846,162,507,-20,723,-10,875,-7,64100,2890.6015,2663.6198
1861,5,73,11,87,38,0.6923076923076923,0.7916666666666666,0.875,0.75,0.6956521739130435,13.0,24.0,8.0,12.0,23.0,25,14,54,0.78,1.2168,0.128369,1.95,1923,0,1,3,3,1,1,1,1,1,1,1,9,1444.8674,26941,36954,48565,1492,1088,5027,-95,4228,120,313,58,44,34.415,872,231,505,6,722,34,859,70,102775,3549.6412,3267.6131
1296,25,63,89,0,61,0.5789473684210527,0.8,0.5,0.631578947368421,0.6153846153846154,19.0,5.0,6.0,19.0,26.0,16,5,40,0.554,0.7271,0.113703,2.02,1733,0,0,2,2,1,1,1,1,1,1,1,3,1321.1425,25278,36312,44884,1700,3660,4706,1763,2597,78,244,66,33,33.3064,801,161,541,14,700,-9,872,-15,62284,2937.5765,3272.6486
100,25,82,34,2,37,0.2,0.1666666666666666,0.0,0.0,0.125,10.0,18.0,3.0,7.0,16.0,7,18,13,0.2378,0.8494,-0.0882263,-2.13,1766,0,0,1,1,1,1,0,0,1,0,0,3,958.607,24219,33436,40561,-1103,-1093,-3568,-358,-3626,70,175,36,39,31.8007,777,159,464,-32,667,-7,809,-14,63931,3604.6206,2730.3398
1728,12,36,67,24,128,0.4285714285714285,0.25,0.3684210526315789,0.2142857142857142,0.3333333333333333,28.0,12.0,19.0,14.0,3.0,8,22,16,0.3183,1.1936,-0.178097,-3.43,1508,0,0,2,2,0,0,0,0,0,0,0,1,1041.2865,23241,34197,42840,-5060,-6800,-12470,-3283,-12874,65,165,33,23,32.5066,663,154,503,-33,711,-34,817,-81,60240,3772.5199,3178.5676
826,33,23,108,79,68,0.8292682926829268,0.8666666666666667,0.9166666666666666,1.0,0.76,41.0,30.0,12.0,1.0,25.0,12,4,31,0.2911,0.3882,0.156296,1.79,2473,1,0,4,4,1,1,0,2,1,0,1,4,1320.5823,24719,35239,43610,1610,3625,2207,1392,-2502,136,423,113,50,38.237,1266,310,560,-1,774,16,941,19,73714,2630.1981,3395.9321
883,58,41,104,77,54,0.7916666666666666,0.8292682926829268,0.7142857142857143,0.8181818181818182,0.9411764705882352,24.0,41.0,14.0,11.0,17.0,24,12,55,0.7886,1.1829,0.183484,1.93,1826,0,1,4,4,1,2,1,2,0,1,1,4,1494.6112,25167,36959,48788,1221,3039,6997,3831,9932,98,275,45,32,35.6517,853,232,552,68,745,68,902,88,88735,3212.5301,3637.9189
856,23,34,36,49,72,0.4285714285714285,0.5,0.4,0.1764705882352941,0.3,14.0,10.0,30.0,17.0,10.0,14,20,32,0.3409,0.8279,0.0326486,0.69,2464,1,1,4,4,0,1,1,1,1,1,1,4,1134.3506,25899,35713,43637,1159,2355,1417,1001,459,140,427,96,66,32.1429,1045,275,576,9,791,35,962,39,94871,3161.1769,4200.0731
140,11,76,28,103,29,0.3333333333333333,0.3,0.25,0.3333333333333333,0.375,3.0,10.0,4.0,6.0,8.0,5,11,8,0.132,0.4223,-0.0962783,-0.13,2273,0,1,5,4,1,2,1,1,0,1,1,3,1036.1813,23540,33916,42652,-877,638,1960,2145,6272,153,363,68,62,32.4417,1014,215,528,6,726,33,900,33,58582,2590.0044,2512.9256
786,44,7,5,72,84,0.3684210526315789,0.4090909090909091,0.5,0.6470588235294118,0.25,19.0,22.0,10.0,17.0,24.0,9,21,18,0.1828,0.6093,-0.103547,-0.18,2954,0,0,3,3,1,2,1,1,1,1,1,4,1018.9844,24771,35044,43428,569,1931,1565,445,523,194,415,107,91,32.2546,1309,279,572,-7,783,13,936,35,105167,3767.8944,3715.0237
1172,53,47,9,96,115,1.0,0.76,0.7575757575757576,1.0,0.8461538461538461,12.0,25.0,33.0,7.0,26.0,18,6,37,0.625,0.8333,0.167765,2.0,1728,1,1,4,4,1,1,1,1,0,0,0,6,1468.4722,26333,36530,49911,389,3731,9277,5704,11355,97,270,61,46,35.5903,828,197,565,11,750,78,909,92,71140,3009.0972,3675.4167
1091,4,42,77,109,110,0.8064516129032258,0.7058823529411765,0.7419354838709677,0.9166666666666666,0.8181818181818182,31.0,17.0,31.0,12.0,11.0,20,4,42,0.8282,0.9938,0.170634,3.14,1449,0,1,3,3,1,1,1,1,1,1,1,8,1394.2443,28414,38551,49829,5619,6608,11719,4461,11332,86,208,34,32,32.2981,653,127,510,43,686,55,780,50,63896,3129.9793,4738.3437
372,8,40,45,25,2,0.25,0.0,0.25,0.0,0.2,8.0,2.0,12.0,8.0,10.0,8,19,15,0.2495,0.842,-0.100964,-2.26,1924,0,1,1,1,1,1,0,0,0,0,0,4,931.8399,23510,30611,37504,-52,-3403,-8208,-2583,-9377,105,243,44,48,31.1227,822,176,507,-10,667,-45,810,-71,61910,2945.6757,2701.5593
608,3,14,53,25,120,0.5,0.3333333333333333,0.0,0.0,0.2727272727272727,6.0,6.0,8.0,8.0,11.0,2,15,4,0.0726,0.6171,-0.112107,-1.75,1653,0,1,1,1,1,2,0,0,0,0,0,4,888.9655,24215,32149,40111,-2008,-4314,-7635,-6256,-12721,76,184,27,39,28.3848,658,124,472,-57,633,-94,747,-147,50558,3141.1615,2743.1216
1753,54,38,54,24,79,0.0,0.0,0.3333333333333333,0.0,0.45,1.0,5.0,3.0,7.0,20.0,2,8,4,0.0666,0.333,-0.147463,-1.22,1802,1,0,0,0,0,0,0,0,0,0,0,1,948.0466,23828,32626,40174,-1354,-56,-3276,321,-5585,129,281,56,44,36.1931,903,184,560,-51,774,-24,937,-70,42380,2891.2542,2270.0444
673,4,42,1,76,95,0.2916666666666667,0.4,0.0,0.4090909090909091,0.4444444444444444,24.0,10.0,5.0,22.0,9.0,5,13,7,0.1729,0.6225,-0.205579,-3.67,1735,0,0,2,2,0,0,0,0,0,0,0,3,946.3055,23622,31953,41115,-3574,-5184,-9368,-2038,-5938,101,240,44,46,34.4784,842,155,541,-29,751,-46,903,-77,32234,2539.4352,2737.7637
1084,42,26,89,102,29,0.5,0.5,0.5,0.4,0.5333333333333333,4.0,6.0,2.0,20.0,15.0,18,12,41,0.5471,0.9119,0.0456429,-0.46,1974,0,0,2,2,0,0,1,2,0,1,1,3,1356.0182,24136,33392,44950,-1292,-1614,2247,326,5904,129,367,86,62,34.4073,938,194,521,-3,723,13,915,37,92559,3115.3191,3129.7872
1337,53,35,65,67,16,0.8,0.5333333333333333,0.75,0.6428571428571429,0.3333333333333333,10.0,15.0,8.0,14.0,6.0,11,18,30,0.2751,0.7253,-0.0244408,0.2,2399,1,1,4,4,1,1,0,0,1,0,1,2,1065.9191,25155,35330,42324,1597,3098,-2954,1573,-7873,129,356,59,55,32.2384,1044,245,528,-12,740,-23,868,-42,91276,3568.2618,5040.4502
