,pick1_encoded,pick2_encoded,pick3_encoded,pick4_encoded,pick5_encoded,winrate_pick1,winrate_pick2,winrate_pick3,winrate_pick4,winrate_pick5,count_pick1,count_pick2,count_pick3,count_pick4,count_pick5,kills,deaths,assists,team kpm,ckpm,gspd,gpr,gamelength,firstblood,firstdragon,dragons,elementaldrakes,firstherald,heralds,firstbaron,barons,firsttower,firstmidtower,firsttothreetowers,turretplates,earned gpm,goldat15,goldat20,goldat25,golddiffat15,golddiffat20,golddiffat25,xpdiffat20,xpdiffat25,wardsplaced,visionscore,wardskilled,controlwardsbought,cspm,minionkills,monsterkills,csat15,csdiffat15,csat20,csdiffat20,csat25,csdiffat25,damagetochampions,damagetakenperminute,damagemitigatedperminute
867,19,47,75,98,33,0.55,0.6,0.4375,0.3888888888888889,0.6666666666666666,20.0,15.0,16.0,18.0,6.0,11,23,22,0.3332,1.0298,-0.141759,-1.05,1981,0,1,2,2,0,1,1,1,0,0,0,2,1110.8935,24778,34507,45536,-974,-1568,-1352,-1529,570,132,289,45,59,31.8021,856,194,484,-14,669,-37,848,-81,71754,2625.7648,3389.8637
46,51,30,21,110,84,0.5714285714285714,0.5625,0.68,1.0,0.6595744680851063,7.0,16.0,25.0,1.0,47.0,12,2,23,0.3909,0.456,0.152328,2.59,1842,1,0,3,3,1,2,1,1,1,1,1,5,1331.1075,25246,35012,44804,3078,4366,5607,3850,6076,89,262,57,47,36.6124,935,189,527,41,752,49,943,56,67284,2859.8697,3145.0489
1350,28,4,36,106,79,0.6896551724137931,0.6428571428571429,0.3636363636363636,0.5555555555555556,0.631578947368421,29.0,14.0,22.0,9.0,19.0,14,16,37,0.3284,0.7037,0.0961609,-0.84,2558,1,0,2,2,1,1,1,2,0,1,0,2,1108.3112,26280,34590,42574,550,-2244,-1996,963,1150,212,428,79,86,29.9296,1061,215,499,-16,694,-41,867,-35,97977,3657.6075,4890.2346
1044,22,83,70,80,2,0.4761904761904761,0.375,0.5555555555555556,0.2857142857142857,0.25,21.0,8.0,18.0,7.0,4.0,15,4,38,0.3549,0.4495,0.0948738,1.82,2536,1,1,4,4,1,1,1,2,1,1,1,1,1220.9148,23977,33777,42592,869,3683,4583,4120,4266,194,421,69,69,34.4479,1159,297,540,36,710,51,903,78,91920,3534.7713,4357.0268
388,14,88,49,80,124,0.8,0.4210526315789473,0.3636363636363636,0.3181818181818182,0.5454545454545454,5.0,38.0,11.0,44.0,11.0,18,9,47,0.4604,0.6905,0.140019,2.72,2346,0,1,3,3,1,2,1,2,1,1,1,6,1319.0793,26463,39333,47433,2579,8257,7647,6820,5209,130,368,76,53,34.9361,1080,286,548,11,728,80,899,57,92780,3828.2097,6246.3683
203,8,76,60,78,93,0.25,0.3636363636363636,0.2,0.0,0.2,8.0,22.0,5.0,2.0,5.0,7,18,13,0.2219,0.7924,-0.160338,-1.49,1893,0,1,1,1,0,1,0,0,1,1,1,8,988.9065,26058,34190,41203,1374,190,-6308,-1489,-11343,0,315,62,48,30.9667,821,156,490,-21,655,-48,792,-120,64620,3157.8764,3045.9271
361,19,15,22,61,6,0.1666666666666666,0.25,0.0,0.25,0.1666666666666666,6.0,4.0,1.0,24.0,18.0,0,12,0,0.0,0.4966,-0.129179,-3.49,1450,0,0,0,0,1,1,0,0,0,0,0,2,919.0759,21868,30067,38379,-4368,-5786,-9936,-5175,-15014,78,178,22,32,33.5172,706,104,492,-29,693,-58,810,-76,24548,2311.4897,1754.1931
705,23,78,1,23,68,0.8,0.8461538461538461,0.75,0.9,0.76,15.0,26.0,12.0,10.0,25.0,15,5,33,0.6303,0.8403,0.275084,3.39,1428,1,1,3,3,0,1,1,1,1,1,1,6,1561.8908,27877,39537,0,4338,8143,0,7487,0,78,195,37,17,39.6218,767,176,587,69,824,103,0,0,53509,2367.1849,2143.2773
1247,25,68,89,80,0,0.5789473684210527,0.5714285714285714,0.5,0.3529411764705882,0.631578947368421,19.0,7.0,6.0,34.0,19.0,10,21,22,0.3198,0.9915,-0.21669,-4.12,1876,0,0,1,1,0,0,0,0,0,0,0,1,1005.9275,23036,31903,38929,-5185,-9493,-13170,-8190,-12628,104,219,43,38,31.5672,816,171,501,-50,662,-56,817,-99,65280,3595.3945,3630.2878
926,52,5,49,35,41,0.3529411764705882,0.5333333333333333,0.4166666666666667,0.55,0.3636363636363636,34.0,15.0,12.0,20.0,22.0,3,10,5,0.0841,0.3643,-0.0300911,1.11,2141,1,1,2,2,1,1,0,0,1,0,1,5,996.3755,25317,34355,42004,1667,1779,1175,-179,-1156,138,351,67,64,33.9935,992,221,546,21,748,13,906,-11,41583,1783.5497,2429.3975
